"Code","SiteCode","Level","Pcode","Province_EN","Province_TH","Dcode","Distinct_EN","Distinct_TH","Scode","SubDistinct_EN","SubDistinct_TH","Zone","Name_TH","Name_EN","Htype","HType2","Hsize","P_Funded","Focus","Prioritization","CDC","NEAB","x","y"
"11459","11459","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8415","Wiang Sa","อ.เวียงสระ","841501",NULL,NULL,"Z11","รพร.เวียงสระ","Wieng Sa Crown Prince","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.3713182466164","8.63728310513872"
"11460","11460","Site/Hospital","P94","Pattani","ปัตตานี","9407","Sai Buri","อ.สายบุรี","940701",NULL,NULL,"Z12","รพร.สายบุรี","Saiburi Crown Prince","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"101.62313112","6.6929779198"
"11461","11461","Site/Hospital","P95","Yala","ยะลา","9505","Yaha","อ.ยะหา","950501",NULL,NULL,"Z12","รพร.ยะหา","Yaha Crown Prince","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"101.12303495","6.49055898"
"11464","11464","Site/Hospital","P94","Pattani","ปัตตานี","9411","Kapho","อ.กะพ้อ","941101",NULL,NULL,"Z12","รพ.กะพ้อ","Kapho","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"101.5422374","6.57121724"
"11468","11468","Site/Hospital","P10","Bangkok","กรุงเทพมหานคร","1030","Chatuchak","อ.จตุจักร","103001",NULL,NULL,"Z13","ทัณฑสถานโรงพยาบาลราชทัณฑ์","Prisoner H","Public","Non-MoPH Public H","ML","Add-on PEPFAR","Non-PF",NULL,NULL,NULL,NULL,NULL
"11469","11469","Site/Hospital","P10","Bangkok","กรุงเทพมหานคร","1004","Bang Rak","อ.บางรัก","100402",NULL,NULL,"Z13","รพ.เลิดสิน","Lerd Sin","Public","MoPH Public H","L","Add-on PEPFAR","PF-2",NULL,"CDC","NEAB","100.5174514081995","13.72219731347053"
"11470","11470","Site/Hospital","P10","Bangkok","กรุงเทพมหานคร","1027","Bueng Kum","อ.บึงกุ่ม","102703",NULL,NULL,"Z13","รพ.นพรัตนราชธานี","Noparat","Public","MoPH Public H","L","Add-on PEPFAR","PF-2",NULL,NULL,"NEAB","100.68754879524931","13.816571309029241"
"11472","11472","Site/Hospital","P10","Bangkok","กรุงเทพมหานคร","1037","Ratchathewi","อ.ราชเทวี","103701",NULL,NULL,"Z13","รพ.ราชวิถี","Rachavithi","Public","MoPH Public H","L","Add-on PEPFAR","PF-2",NULL,NULL,"NEAB","100.53679656982422","13.764299392700195"
"11473","11473","Site/Hospital","P73","Nakhon Pathom","นครปฐม","7306","Sam Phran","อ.สามพราน","730608",NULL,NULL,"Z05","รพ.เมตตาประชารักษ์","Mettapracharak","Public","MoPH Public H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"13.742624","100.258212"
"11477","11477","Site/Hospital","P10","Bangkok","กรุงเทพมหานคร","1014","Phaya Thai","อ.พญาไท","101401",NULL,NULL,"Z13","รพ.ทหารผ่านศึก","Veteran","Public","Non-MoPH Public H","ML","Add-on PEPFAR","Non-PF",NULL,NULL,NULL,"100.55159568786621","13.771951078035698"
