"Code","SiteCode","Level","Pcode","Province_EN","Province_TH","Dcode","Distinct_EN","Distinct_TH","Scode","SubDistinct_EN","SubDistinct_TH","Zone","Name_TH","Name_EN","Htype","HType2","Hsize","P_Funded","Focus","Prioritization","CDC","NEAB","x","y"
"04883","04883","Site/Hospital","P38","Bueng Kan","บึงกาฬ","3805","Pak Khat","อ.ปากคาด","380505",NULL,NULL,"Z08","รพ.สต.บ้านสมสนุก","Ban Somsanook Health Promotion","Public","Sub-district H","SS","Domestic only","Non-PF",NULL,NULL,NULL,"103.39785661","18.233856112"
"08500","08500","Site/Hospital","P74","Samut Sakhon","สมุทรสาคร","7403","Ban Phaeo","อ.บ้านแพ้ว","740312",NULL,NULL,"Z05","รพ.สต.ตำบลบ้านดอนโฆ","Ban Rang Ton health promotion","Public","Health Center","SS","Domestic only","Non-PF",NULL,NULL,NULL,NULL,NULL
"08508","08508","Site/Hospital","P74","Samut Sakhon","สมุทรสาคร","7403","Ban Phaeo","อ.บ้านแพ้ว","740312",NULL,NULL,"Z05","รพ.สต.ตำบลบ้านคลองตัน","Ban klongtan health promotion","Public","Health Center","SS","Domestic only","Non-PF",NULL,NULL,NULL,"13.662699","100.164944"
"10660","10660","Site/Hospital","P14","Phra Nakhon Si Ayutthaya","อยุธยา","1401","Phra Nakhon Si Ayutthaya","อ.พระนครศรีอยุธยา","140101",NULL,NULL,"Z04","รพ.พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"100.560540985625","14.3430506468397"
"10661","10661","Site/Hospital","P19","Saraburi","สระบุรี","1901","Mueang Saraburi","อ.เมืองสระบุรี","190101",NULL,NULL,"Z04","รพ.สระบุรี","Saraburi","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.915328398146","14.5348727039065"
"10662","10662","Site/Hospital","P20","Chon Buri","ชลบุรี","2001","Mueang Chon Buri","อ.เมืองชลบุรี","200105",NULL,NULL,"Z06","รพ.ชลบุรี","Chon Buri","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"USAID","USAID","100.982690475483","13.3518154753144"
"10663","10663","Site/Hospital","P21","Rayong","ระยอง","2101","Mueang Rayong","อ.เมืองระยอง","210101",NULL,NULL,"Z06","รพ.ระยอง","Rayong","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"101.276529295415","12.681843399261"
"10664","10664","Site/Hospital","P22","Chanthaburi","จันทบุรี","2201","Mueang Chanthaburi","อ.เมืองจันทบุรี","220102",NULL,NULL,"Z06","รพ.พระปกเกล้า","Prapokklao","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"102.102858021029","12.6039373491347"
"10665","10665","Site/Hospital","P25","Prachin Buri","ปราจีนบุรี","2501","Mueang Prachin Buri","อ.เมืองปราจีนบุรี","250105",NULL,NULL,"Z06","รพ.เจ้าพระยาอภัยภูเบศร","Chaopraya Abhaiphubej","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"101.396169999999","14.05438"
"10666","10666","Site/Hospital","P30","Nakhon Ratchasima","นครราชสีมา","3001","Mueang Nakhon Ratchasima","อ.เมืองนครราชสีมา","300101",NULL,NULL,"Z09","รพ.มหาราชนครราชสีมา","Maharat Nakhon Ratchasema","Public","Regional H","LL","Add-on PEPFAR","PF-1",NULL,"CDC",NULL,"102.10201532","14.982571136"
"10667","10667","Site/Hospital","P31","Buri Ram","บุรีรัมย์","3101","Mueang Buri Ram","อ.เมืองบุรีรัมย์","310101",NULL,NULL,"Z09","รพ.บุรีรัมย์","Buri Ram","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"103.100561694471","15.005387159946"
"10668","10668","Site/Hospital","P32","Surin","สุรินทร์","3201","Mueang Surin","อ.เมืองสุรินทร์","320101",NULL,NULL,"Z09","รพ.สุรินทร์","Surin","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"14.876423243","103.50322074"
"10669","10669","Site/Hospital","P34","Ubon Ratchathani","อุบลราชธานี","3401","Mueang Ubon Ratchathani","อ.เมืองอุบลราชธานี","340101",NULL,NULL,"Z10","รพ.สรรพสิทธิประสงค์","Sappasitthiprasong","Public","Regional H","LL","Add-on PEPFAR","PF-1",NULL,"USAID","MOPH","104.86496715","15.236095812"
"10670","10670","Site/Hospital","P40","Khon Kaen","ขอนแก่น","4001","Mueang Khon Kaen","อ.เมืองขอนแก่น","400101",NULL,NULL,"Z07","รพ.ขอนแก่น","Khon Khan RH","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"CDC","MOPH","102.849327","16.42904700000001"
"10671","10671","Site/Hospital","P41","Udon Thani","อุดรธานี","4101","Mueang Udon Thani","อ.เมืองอุดรธานี","410101",NULL,NULL,"Z08","รพ.อุดรธานี","Udornthani RH","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"CDC","MOPH","102.78017879","17.41520452"
"10672","10672","Site/Hospital","P52","Lampang","ลำปาง","5201","Mueang Lampang","อ.เมืองลำปาง","520102",NULL,NULL,"Z01","รพ.ลำปาง","Lampang RH","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"99.50434438884258","18.28805200229252"
"10673","10673","Site/Hospital","P53","Uttaradit","อุตรดิตถ์","5301","Mueang Uttaradit","อ.เมืองอุตรดิตถ์","530101",NULL,NULL,"Z02","รพ.อุตรดิตถ์","Uttaradit","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.087213954668","17.61884122049"
"10674","10674","Site/Hospital","P57","Chiang Rai","เชียงราย","5701","Mueang Chiang Rai","อ.เมืองเชียงราย","570101",NULL,NULL,"Z01","รพ.เชียงรายประชานุเคราะห์","Chiangrai Prachanukroh","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"USAID","MOPH","99.8292191900409","19.9016582993946"
"10675","10675","Site/Hospital","P60","Nakhon Sawan","นครสวรรค์","6001","Mueang Nakhon Sawan","อ.เมืองนครสวรรค์","600101",NULL,NULL,"Z03","รพ.สวรรค์ประชารักษ์","Sawanpracharak","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"100.1388168334961","15.707423210144043"
"10676","10676","Site/Hospital","P65","Phitsanulok","พิษณุโลก","6501","Mueang Phitsanulok","อ.เมืองพิษณุโลก","650101",NULL,NULL,"Z02","รพ.พุทธชินราช","Buddhachinaraj","Public","Regional H","LL","Add-on GF","Non-PF",NULL,NULL,NULL,"100.26401454","16.809708992"
"10677","10677","Site/Hospital","P70","Ratchaburi","ราชบุรี","7001","Mueang Ratchaburi","อ.เมืองราชบุรี","700101",NULL,NULL,"Z05","รพ.ราชบุรี","Ratchaburi","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"99.81515039788326","13.53076830524345"
"10678","10678","Site/Hospital","P72","Suphan Buri","สุพรรณบุรี","7201","Mueang Suphan Buri","อ.เมืองสุพรรณบุรี","720101",NULL,NULL,"Z05","รพ.เจ้าพระยายมราช","Chaopraya Yommaraj","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.116082726057","14.4664964823521"
"10679","10679","Site/Hospital","P73","Nakhon Pathom","นครปฐม","7301","Mueang Nakhon Pathom","อ.เมืองนครปฐม","730101",NULL,NULL,"Z05","รพ.นครปฐม","Nakorn Pathom","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"100.07499873","13.819631775"
"10680","10680","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8001","Mueang Nakhon Si Thammarat","อ.เมืองนครศรีธรรมร","800101",NULL,NULL,"Z11","รพ.มหาราชนครศรีธรรมราช","Maharaj Nakorn Srithammarat","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"99.971581983","8.3909884349"
"10681","10681","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8401","Mueang Surat Thani","อ.เมืองสุราษฎร์ธาน","840102",NULL,NULL,"Z11","รพ.สุราษฎร์ธานี","Surat Thani","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"99.310401645","9.1234123737"
"10682","10682","Site/Hospital","P90","Songkhla","สงขลา","9011","Hat Yai","อ.หาดใหญ่","901101",NULL,NULL,"Z12","รพ.หาดใหญ่","Hatyai","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"USAID","USAID","100.46693550717","7.01659353159476"
"10683","10683","Site/Hospital","P92","Trang","ตรัง","9201","Mueang Trang","อ.เมืองตรัง","920101",NULL,NULL,"Z12","รพ.ตรัง","Trang","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"99.619563","7.568709"
"10684","10684","Site/Hospital","P95","Yala","ยะลา","9501","Mueang Yala","อ.เมืองยะลา","950101",NULL,NULL,"Z12","รพ.ยะลา","Yala","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"101.276365","6.547672"
"10685","10685","Site/Hospital","P11","Samut Prakan","สมุทรปราการ","1101","Mueang Samut Prakan","อ.เมืองสมุทรปราการ","110101",NULL,NULL,"Z06","รพ.สมุทรปราการ","Samut Prakan","Public","Regional H","L","Add-on PEPFAR","Non-PF",NULL,NULL,"MOPH","100.59738552","13.583642858"
"10686","10686","Site/Hospital","P12","Nonthaburi","นนทบุรี","1201","Mueang Nonthaburi","อ.เมืองนนทบุรี","120104",NULL,NULL,"Z04","รพ.พระนั่งเกล้า","Pranangklao","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"USAID","MOPH","100.481718724074","13.8650637687741"
"10687","10687","Site/Hospital","P13","Pathum Thani","ปทุมธานี","1301","Mueang Pathum Thani","อ.เมืองปทุมธานี","130101",NULL,NULL,"Z04","รพ.ปทุมธานี","Pathum Thani","Public","General H","ML","Add-on PEPFAR","PF-1",NULL,"USAID",NULL,"100.523338081119","14.0204251874823"
"10688","10688","Site/Hospital","P14","Phra Nakhon Si Ayutthaya","อยุธยา","1412","Sena","อ.เสนา","141203",NULL,NULL,"Z04","รพ.เสนา","Sena","Public","General H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"100.57649269932881","14.213981695271121"
"10689","10689","Site/Hospital","P15","Ang Thong","อ่างทอง","1501","Mueang Ang Thong","อ.เมืองอ่างทอง","150102",NULL,NULL,"Z04","รพ.อ่างทอง","Ang Thong","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"100.451949213507","14.5846865417724"
"10690","10690","Site/Hospital","P16","Lop Buri","ลพบุรี","1601","Mueang Lop Buri","อ.เมืองลพบุรี","160106",NULL,NULL,"Z04","รพ.พระนารายณ์มหาราช","King Narai","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.6521463394165","14.805100127751187"
"10691","10691","Site/Hospital","P16","Lop Buri","ลพบุรี","1606","Ban Mi","อ.บ้านหมี่","160619",NULL,NULL,"Z04","รพ.บ้านหมี่","Banmei","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"100.5426078","15.04445988"
"10692","10692","Site/Hospital","P17","Sing Buri","สิงห์บุรี","1701","Mueang Sing Buri","อ.เมืองสิงห์บุรี","170101",NULL,NULL,"Z04","รพ.สิงห์บุรี","Singburi","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"100.397754490212","14.8967497566148"
"10693","10693","Site/Hospital","P17","Sing Buri","สิงห์บุรี","1706","In Buri","อ.อินทร์บุรี","170603",NULL,NULL,"Z04","รพ.อินทร์บุรี","Inburi","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"14.9879551318558","100.333572291249"
"10694","10694","Site/Hospital","P18","Chai Nat","ชัยนาท","1801","Mueang Chai Nat","อ.เมืองชัยนาท","180101",NULL,NULL,"Z03","รพ.ชัยนาทนเรนทร","Chai Nat Naraintorn","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"100.128421674265","15.1913398374777"
"10695","10695","Site/Hospital","P19","Saraburi","สระบุรี","1909","Phra Phutthabat","อ.พระพุทธบาท","190903",NULL,NULL,"Z04","รพ.พระพุทธบาท","Phra Phutthabat","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"100.80511171","14.721579767"
"10696","10696","Site/Hospital","P23","Trat","ตราด","2301","Mueang Trat","อ.เมืองตราด","230107",NULL,NULL,"Z06","รพ.ตราด","Trat","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"102.511232893686","12.24816129769839"
"10697","10697","Site/Hospital","P24","Chachoengsao","ฉะเชิงเทรา","2401","Mueang Chachoengsao","อ.เมืองฉะเชิงเทรา","240101",NULL,NULL,"Z06","รพ.พุทธโสธร","Buddhasothorn","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"13.686444287","101.07403685"
"10698","10698","Site/Hospital","P26","Nakhon Nayok","นครนายก","2601","Mueang Nakhon Nayok","อ.เมืองนครนายก","260101",NULL,NULL,"Z04","รพ.นครนายก","Nakorn Nayok","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"101.212937239811","14.2080393831123"
"10699","10699","Site/Hospital","P27","Sa Kaeo","สระแก้ว","2701","Mueang Sa Kaeo","อ.เมืองสระแก้ว","270101",NULL,NULL,"Z06","รพร.สระแก้ว","Sakaeo Crown Prince","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"102.07191788","13.816560189"
"10700","10700","Site/Hospital","P33","Si Sa Ket","ศรีสะเกษ","3301","Mueang Si Sa Ket","อ.เมืองศรีสะเกษ","330102",NULL,NULL,"Z10","รพ.ศรีสะเกษ","Si Sa Ket","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"104.32027102","15.11552649"
"10701","10701","Site/Hospital","P35","Yasothon","ยโสธร","3501","Mueang Yasothon","อ.เมืองยโสธร","350103",NULL,NULL,"Z10","รพ.ยโสธร","Yasothon","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"104.16209056","15.780976967"
"10702","10702","Site/Hospital","P36","Chaiyaphum","ชัยภูมิ","3601","Mueang Chaiyaphum","อ.เมืองชัยภูมิ","360101",NULL,NULL,"Z09","รพ.ชัยภูมิ","Chaiyaphum","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"102.0344343","15.80697144"
"10703","10703","Site/Hospital","P37","Amnat Charoen","อำนาจเจริญ","3701","Mueang Amnat Charoen","อ.เมืองอำนาจเจริญ","370101",NULL,NULL,"Z10","รพ.อำนาจเจริญ","Amnat Charoen","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"104.6236825","15.86374409"
"10704","10704","Site/Hospital","P39","Nong Bua Lam Phu","หนองบัวลำภู","3901","Mueang Nong Bua Lam Phu","อ.เมืองหนองบัวลำภู","390101",NULL,NULL,"Z08","รพ.หนองบัวลำภู","Nong Bua Lam Phu","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"102.45721339","17.198945988"
"10705","10705","Site/Hospital","P42","Loei","เลย","4201","Mueang Loei","อ.เมืองเลย","420101",NULL,NULL,"Z08","รพ.เลย","Loei","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"101.722097677811","17.4873414311167"
"10706","10706","Site/Hospital","P43","Nong Khai","หนองคาย","4301","Mueang Nong Khai","อ.เมืองหนองคาย","430101",NULL,NULL,"Z08","รพ.หนองคาย","Nong Khai","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"102.74176025390625","17.88141632080078"
"10707","10707","Site/Hospital","P44","Maha Sarakham","มหาสารคาม","4401","Mueang Maha Sarakham","อ.เมืองมหาสารคาม","440101",NULL,NULL,"Z07","รพ.มหาสารคาม","Maha sarakham","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"103.29937019","16.181232524"
"10708","10708","Site/Hospital","P45","Roi Et","ร้อยเอ็ด","4501","Mueang Roi Et","อ.เมืองร้อยเอ็ด","450101",NULL,NULL,"Z07","รพ.ร้อยเอ็ด","Roi Et","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"103.65455052","16.048314438"
"10709","10709","Site/Hospital","P46","Kalasin","กาฬสินธุ์","4601","Mueang Kalasin","อ.เมืองกาฬสินธุ์","460101",NULL,NULL,"Z07","รพ.กาฬสินธุ์","Kalasin","Public","General H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"103.50581556558609","16.43429190168251"
"10710","10710","Site/Hospital","P47","Sakon Nakhon","สกลนคร","4701","Mueang Sakon Nakhon","อ.เมืองสกลนคร","470101",NULL,NULL,"Z08","รพ.สกลนคร","Sakon Nakhon","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"104.15784773","17.161424543"
"10711","10711","Site/Hospital","P48","Nakhon Phanom","นครพนม","4801","Mueang Nakhon Phanom","อ.เมืองนครพนม","480101",NULL,NULL,"Z08","รพ.นครพนม","Nakhon Phanom","Public","General H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"104.77827233","17.414213737"
"10712","10712","Site/Hospital","P49","Mukdahan","มุกดาหาร","4901","Mueang Mukdahan","อ.เมืองมุกดาหาร","490101",NULL,NULL,"Z10","รพ.มุกดาหาร","Mukdahan","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"104.727176878122","16.541116025959"
"10713","10713","Site/Hospital","P50","Chiang Mai","เชียงใหม่","5007","Mae Rim","อ.แม่ริม","500709",NULL,NULL,"Z01","รพ.นครพิงค์","Nakornping Hospital","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"USAID","USAID","98.967648363","18.852270956"
"10714","10714","Site/Hospital","P51","Lamphun","ลำพูน","5101","Mueang Lamphun","อ.เมืองลำพูน","510107",NULL,NULL,"Z01","รพ.ลำพูน","Lumphun","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"98.99494","18.582512"
"10715","10715","Site/Hospital","P54","Phrae","แพร่","5401","Mueang Phrae","อ.เมืองแพร่","540101",NULL,NULL,"Z01","รพ.แพร่","Phrae PH","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.154712458085","18.1339330100702"
"10716","10716","Site/Hospital","P55","Nan","น่าน","5501","Mueang Nan","อ.เมืองน่าน","550101",NULL,NULL,"Z01","รพ.น่าน","Nan PH","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.78844711544","18.7944379892057"
"10717","10717","Site/Hospital","P56","Phayao","พะเยา","5601","Mueang Phayao","อ.เมืองพะเยา","560107",NULL,NULL,"Z01","รพ.พะเยา","Phayao PH","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"99.87740706831681","19.19036371155087"
"10718","10718","Site/Hospital","P56","Phayao","พะเยา","5603","Chiang Kham","อ.เชียงคำ","560301",NULL,NULL,"Z01","รพ.เชียงคำ","Chiang Kham","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"100.297585132154","19.5181176172036"
"10719","10719","Site/Hospital","P58","Mae Hong Son","แม่ฮ่องสอน","5801","Mueang Mae Hong Son","อ.เมืองแม่ฮ่องสอน","580101",NULL,NULL,"Z01","รพ.ศรีสังวาลย์","Srisangwan","Public","General H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"97.971867831","19.299939647"
"10720","10720","Site/Hospital","P61","Uthai Thani","อุทัยธานี","6101","Mueang Uthai Thani","อ.เมืองอุทัยธานี","610101",NULL,NULL,"Z03","รพ.อุทัยธานี","Uthai Thani","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"100.01986552029848","15.380840353499709"
"10721","10721","Site/Hospital","P62","Kamphaeng Phet","กำแพงเพชร","6201","Mueang Kamphaeng Phet","อ.เมืองกำแพงเพชร","620101",NULL,NULL,"Z03","รพ.กำแพงเพชร","Kamphaeng Phet","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"99.527538925","16.463285347"
"10722","10722","Site/Hospital","P63","Tak","ตาก","6301","Mueang Tak","อ.เมืองตาก","630101",NULL,NULL,"Z02","รพ.สมเด็จพระเจ้าตากสินฯ","Somdet Phrachao Taksin","Public","General H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"99.1322533571471","16.8727719887518"
"10723","10723","Site/Hospital","P63","Tak","ตาก","6306","Mae Sot","อ.แม่สอด","630601",NULL,NULL,"Z02","รพ.แม่สอด","Maesot","Public","General H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"98.5726547241211","16.70956802368164"
"10724","10724","Site/Hospital","P64","Sukhothai","สุโขทัย","6401","Mueang Sukhothai","อ.เมืองสุโขทัย","640106",NULL,NULL,"Z02","รพ.สุโขทัย","Sukhothai","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.79605045168876","17.01043628053493"
"10725","10725","Site/Hospital","P64","Sukhothai","สุโขทัย","6406","Si Samrong","อ.ศรีสำโรง","640601",NULL,NULL,"Z02","รพ.ศรีสังวรสุโขทัย","Srisangwan Sukothai","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.86547088623047","17.16629409790039"
"10726","10726","Site/Hospital","P66","Phichit","พิจิตร","6601","Mueang Phichit","อ.เมืองพิจิตร","660101",NULL,NULL,"Z03","รพ.พิจิตร","Phichit","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.34527212381363","16.43511015609652"
"10727","10727","Site/Hospital","P67","Phetchabun","เพชรบูรณ์","6701","Mueang Phetchabun","อ.เมืองเพชรบูรณ์","670101",NULL,NULL,"Z02","รพ.เพชรบูรณ์","Phetchabun","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"101.153616227126","16.427506223313"
"10728","10728","Site/Hospital","P70","Ratchaburi","ราชบุรี","7004","Damnoen Saduak","อ.ดำเนินสะดวก","700411",NULL,NULL,"Z05","รพ.ดำเนินสะดวก","Damnoen Saduak","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.965690575","13.535879687"
"10729","10729","Site/Hospital","P70","Ratchaburi","ราชบุรี","7005","Ban Pong","อ.บ้านโป่ง","700501",NULL,NULL,"Z05","รพ.บ้านโป่ง","Ban Pong","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.871026464","13.817040952"
"10730","10730","Site/Hospital","P70","Ratchaburi","ราชบุรี","7007","Photharam","อ.โพธาราม","700701",NULL,NULL,"Z05","รพ.โพธาราม","Photharam","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.851597465","13.694219967"
"10731","10731","Site/Hospital","P71","Kanchanaburi","กาญจนบุรี","7101","Mueang Kanchanaburi","อ.เมืองกาญจนบุรี","710103",NULL,NULL,"Z05","รพ.พหลพลพยุหเสนา","Phaholponpayuhasena","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"99.5467025706477","14.0050423128536"
"10732","10732","Site/Hospital","P71","Kanchanaburi","กาญจนบุรี","7105","Tha Maka","อ.ท่ามะกา","710506",NULL,NULL,"Z05","รพ.มะการักษ์","Makarak","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.7679627439999","13.907979593"
"10733","10733","Site/Hospital","P72","Suphan Buri","สุพรรณบุรี","7207","Song Phi Nong","อ.สองพี่น้อง","720701",NULL,NULL,"Z05","รพ.สมเด็จพระสังฆราชองค์ที่17","Somdejprasangkharag XVII","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"14.225403","100.02834"
"10734","10734","Site/Hospital","P74","Samut Sakhon","สมุทรสาคร","7401","Mueang Samut Sakhon","อ.เมืองสมุทรสาคร","740101",NULL,NULL,"Z05","รพ.สมุทรสาคร","Samut Sakhon","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.279214122684","13.5515993705849"
"10735","10735","Site/Hospital","P75","Samut Songkhram","สมุทรสงคราม","7501","Mueang Samut Songkhram","อ.เมืองสมุทรสงคราม","750101",NULL,NULL,"Z05","รพ.สมเด็จพระพุทธเลิศหล้า","Somdejphrajaotaksin Maharaj","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.998199043","13.406707723"
"10736","10736","Site/Hospital","P76","Phetchaburi","เพชรบุรี","7601","Mueang Phetchaburi","อ.เมืองเพชรบุรี","760102",NULL,NULL,"Z05","รพ.พระจอมเกล้า","Phrajomklao","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"99.938405626","13.117511571"
"10737","10737","Site/Hospital","P77","Prachuap Khiri Khan","ประจวบคีรีขันธ์","7701","Mueang Prachuap Khiri Khan","อ.เมืองประจวบคีรีข","770101",NULL,NULL,"Z05","รพ.ประจวบคีรีขันธ์","Prachuap Khiri Khan","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.79529858","11.80127993"
"10738","10738","Site/Hospital","P81","Krabi","กระบี่","8101","Mueang Krabi","อ.เมืองกระบี่","810101",NULL,NULL,"Z11","รพ.กระบี่","Krabi","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"98.863831099","8.073935014"
"10739","10739","Site/Hospital","P82","Phangnga","พังงา","8201","Mueang Phangnga","อ.เมืองพังงา","820101",NULL,NULL,"Z11","รพ.พังงา","Phangnga","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"98.527149247","8.4470317794"
"10740","10740","Site/Hospital","P82","Phangnga","พังงา","8205","Takua Pa","อ.ตะกั่วป่า","820502",NULL,NULL,"Z11","รพ.ตะกั่วป่า","Takua pa","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"98.334217596097","8.86437511023629"
"10741","10741","Site/Hospital","P83","Phuket","ภูเก็ต","8301","Mueang Phuket","อ.เมืองภูเก็ต","830101",NULL,NULL,"Z11","รพ.วชิระภูเก็ต","Vachira Phuket","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"CDC",NULL,"98.383881552","7.8967083834"
"10742","10742","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8404","Ko Samui","อ.เกาะสมุย","840401",NULL,NULL,"Z11","รพ.เกาะสมุย","Koh Samui","Public","General H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"99.93561655392057","9.52173824305264"
"10743","10743","Site/Hospital","P85","Ranong","ระนอง","8501","Mueang Ranong","อ.เมืองระนอง","850101",NULL,NULL,"Z11","รพ.ระนอง","Ranong","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"98.6426830586574","9.96329886487088"
"10744","10744","Site/Hospital","P86","Chumphon","ชุมพร","8601","Mueang Chumphon","อ.เมืองชุมพร","860101",NULL,NULL,"Z11","รพ.ชุมพรเขตรอุดมศักดิ์","Chumphon","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"99.186365610303","10.4975268850928"
"10745","10745","Site/Hospital","P90","Songkhla","สงขลา","9001","Mueang Songkhla","อ.เมืองสงขลา","900104",NULL,NULL,"Z12","รพ.สงขลา","SongKhla","Public","General H","L","Add-on PEPFAR","PF-1",NULL,"USAID","USAID","100.565253494606","7.1421195701542"
"10746","10746","Site/Hospital","P91","Satun","สตูล","9101","Mueang Satun","อ.เมืองสตูล","910101",NULL,NULL,"Z12","รพ.สตูล","Satun","Public","General H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"100.07043101","6.6191272766"
"10747","10747","Site/Hospital","P93","Phatthalung","พัทลุง","9301","Mueang Phatthalung","อ.เมืองพัทลุง","930101",NULL,NULL,"Z12","รพ.พัทลุง","Phatthalung","Public","General H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.074165935483","7.61438178701539"
"10748","10748","Site/Hospital","P94","Pattani","ปัตตานี","9401","Mueang Pattani","อ.เมืองปัตตานี","940101",NULL,NULL,"Z12","รพ.ปัตตานี","Pattani","Public","General H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"101.25037304","6.8675027999"
